Incident ID,Year,Publishing Agency Name,Publishing Agency Unit,Agency Type Name,State Abbreviation,State Name,Division Name,Region Name,Incident Date,Offender Race,Offender Ethnicity,Victim Count,Offense Name,Total Individual Victims,Location Name,Bias Description,Victim Types,Multiple Offense,Multiple Bias
39196,1996,Long Beach,,City,CA,California,Pacific,West,1996-11-10,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Asian,Individual,S,S
37819,1996,Tacoma,,City,WA,Washington,Pacific,West,1996-11-10,White,Not Specified,2,Simple Assault,2,Construction Site,Anti-Asian,Individual,S,S
33688,1996,San Diego,,City,CA,California,Pacific,West,1996-11-11,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Air/Bus/Train Terminal,Anti-Asian,Individual,S,S
34373,1996,Neponset,,City,IL,Illinois,East North Central,Midwest,1996-11-13,White,Not Specified,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
38783,1996,Fresno,,City,CA,California,Pacific,West,1996-11-13,Unknown,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
33320,1996,Los Angeles,,City,CA,California,Pacific,West,1996-11-15,White,Not Specified,1,Intimidation,1,Liquor Store,Anti-Asian,Individual,S,S
33364,1996,San Dimas,,City,CA,California,Pacific,West,1996-11-15,White,Not Specified,2,Intimidation;Simple Assault,1,School/College,Anti-Asian,Individual,M,S
33814,1996,San Francisco,,City,CA,California,Pacific,West,1996-11-18,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Restaurant,Anti-Asian,Individual,S,S
35130,1996,Boston,,City,MA,Massachusetts,New England,Northeast,1996-11-19,White,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Asian,Individual,S,S
37889,1996,Sheboygan,,City,WI,Wisconsin,East North Central,Midwest,1996-11-20,White,Not Specified,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
37890,1996,Sheboygan,,City,WI,Wisconsin,East North Central,Midwest,1996-11-20,White,Not Specified,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
37006,1996,Stillwater,,City,OK,Oklahoma,West South Central,South,1996-11-21,Unknown,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
37007,1996,Stillwater,,City,OK,Oklahoma,West South Central,South,1996-11-21,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Parking/Drop Lot/Garage,Anti-Asian,Individual,S,S
38273,1996,Benicia,,City,CA,California,Pacific,West,1996-11-21,White,Not Specified,1,Simple Assault,1,Grocery/Supermarket,Anti-Asian,Individual,S,S
39821,1996,San Francisco,,City,CA,California,Pacific,West,1996-11-25,White,Not Specified,1,Intimidation,1,Hotel/Motel/Etc.,Anti-Asian,Individual,S,S
40686,1996,Roseville,,City,MN,Minnesota,West North Central,Midwest,1996-12-03,White,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
33417,1996,Costa Mesa,,City,CA,California,Pacific,West,1996-12-03,White,Not Specified,1,Simple Assault,1,Grocery/Supermarket,Anti-Asian,Individual,S,S
37982,1996,San Francisco State University,,University or College,CA,California,Pacific,West,1996-12-03,Black or African American,Not Specified,1,Intimidation,1,Air/Bus/Train Terminal,Anti-Asian,Individual,S,S
38268,1996,Redding,,City,CA,California,Pacific,West,1996-12-05,White,Not Specified,1,Aggravated Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
33891,1996,Redding,,City,CA,California,Pacific,West,1996-12-07,Asian,Not Specified,1,Aggravated Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
